#{"t_start": 1779732909.664531, "env_id": "None"}
r,l,t
-49.676202,500,40.373943
-22.956832,500,82.473339
-97.03708,500,125.166391
-28.346184,500,165.631355
-23.565173,500,207.65364
18.336647,303,232.392748
-79.009404,500,270.55884
19.802767,217,288.525108
8.994477,373,318.531309
13.222338,271,342.151843
29.824411,271,364.779479
14.500114,500,404.922221
-44.484621,500,630.329998
31.37697,134,640.8082
-84.745072,500,681.955722
-39.567891,500,721.954558
24.23569,384,753.392651
19.483559,500,793.317554
12.935025,500,822.451029
17.038809,500,862.019281
3.997186,500,899.25436
-38.544278,500,939.843804
22.668762,153,952.343392
28.189213,500,1176.246127
0.148506,478,1215.858005
6.153158,500,1257.105992
-19.758114,500,1296.464987
-993.664706,500,1335.326215
7.722641,413,1369.313563
-1.131918,500,1408.310262
-60.980708,500,1447.296199
-64.280899,500,1487.48526
18.987267,500,1525.8431
-15.460289,500,1564.050316
27.07744,234,1779.156903
-3.137497,500,1820.807458
8.218892,500,1862.558811
23.371064,159,1875.59771
21.776712,34,1879.29106
-13.822212,500,1918.414058
18.928164,158,1932.242763
8.091478,500,1972.658709
10.379385,500,2010.757319
22.765939,289,2033.69866
6.924404,500,2072.451494
24.78057,131,2083.680682
27.994037,65,2089.82459
11.490417,476,2129.593369
23.672129,272,2152.506562
19.162619,500,2376.403986
21.051042,93,2384.576475
17.773951,371,2414.047132
24.060905,500,2450.835563
31.199182,57,2456.444696
29.972008,114,2466.688019
19.198401,158,2480.223944
25.931188,94,2488.821509
-6.384112,500,2529.278491
3.71148,276,2552.214239
24.842719,108,2562.065304
23.91419,247,2582.298981
31.702173,244,2601.912501
10.971971,240,2622.759151
28.124438,33,2626.231286
25.936848,146,2638.608426
7.614891,500,2675.918502
28.120765,67,2681.98608
35.367087,68,2688.175975
4.485282,446,2723.666406
29.498353,31,2726.721985
11.967484,500,2944.714485
11.134082,212,2962.465314
29.560186,39,2966.390847
9.385383,185,2982.396153
27.153404,167,2995.94738
27.124766,47,3000.520444
25.150212,172,3014.606889
23.111312,90,3022.77745
28.233345,90,3030.681757
12.162097,428,3064.497579
33.729717,126,3074.980886
29.104715,36,3078.701006
30.387546,34,3082.422121
18.924458,500,3121.365052
12.742845,500,3162.108479
6.569382,500,3200.789936
30.329828,34,3204.414557
-1.458193,417,3238.400715
28.570364,34,3241.730595
7.106555,228,3256.302859
12.454183,245,3277.56573
27.539297,54,3282.893745
24.250134,36,3286.745714
18.249647,96,3295.56623
-13.824073,172,3312.258698
35.365029,27,3315.541855
-2.46189,305,3342.632228
26.522064,178,3531.149917
27.595741,62,3566.956502
-2.699248,500,3590.813448
20.070534,172,3599.687865
-1.522768,467,3627.625709
14.608752,500,3663.521796
18.900273,231,3675.100562
-13.710559,500,3750.833335
8.103547,500,3774.196322
12.37897,335,3789.52774
12.609728,301,3818.378445
27.63257,12,3824.834082
11.698264,103,3874.789922
-4.464129,500,3958.411649
11.904581,189,3967.839401
24.630572,97,3973.628552
33.266629,161,3992.066949
-4.628611,500,4190.386207
24.175593,82,4194.12043
19.5965,136,4200.339463
11.295117,274,4211.772759
29.480771,85,4216.34283
30.605316,117,4224.463728
19.56321,196,4262.467071
19.956144,401,4281.302003
