#{"t_start": 1779726286.389517, "env_id": "None"}
r,l,t
-52.95542,500,35.816392
-70.84563,500,70.964165
-781.179709,320,94.880143
-72.907812,500,129.628342
-849.602722,500,165.336367
-2152.852874,500,200.358787
-80.846005,500,235.664327
-972.941266,351,260.295916
-1080.07106,424,289.820435
76.163379,135,299.965627
-1827.257992,500,333.816602
-179.862744,500,568.992612
-1131.395115,500,604.661708
-917.658459,384,632.893985
-811.080538,237,650.952831
45.652366,201,666.263465
50.022086,240,684.933421
-774.971908,327,711.397021
-1056.952042,465,743.308354
-924.310688,448,776.553597
-51.488795,500,815.478302
-9.778993,451,848.536957
43.598658,200,863.703989
-1010.957105,500,900.43532
-1021.783854,500,1107.863614
-916.86198,381,1135.331714
-840.209405,330,1158.995267
-876.194979,297,1181.18865
-911.636347,500,1217.212548
-45.679969,500,1253.637589
-1769.661844,287,1275.879127
-75.104727,500,1312.05112
-79.062995,500,1347.009851
-79.709741,497,1384.522236
-755.829852,291,1405.768224
44.780928,248,1424.624271
-846.214719,268,1445.00298
-48.985164,500,1652.919837
-813.892426,500,1688.511328
-833.240062,358,1715.038257
-1217.405516,500,1751.042149
-75.267275,500,1786.672302
-236.672196,500,1824.379468
-979.923144,397,1854.093874
-877.155273,361,1880.092836
-904.746253,318,1903.08883
-65.056188,500,1939.254614
-78.405689,500,1976.768694
-878.041736,500,2179.377064
-24.340073,500,2202.129837
-1118.407498,500,2221.1444
-1078.361877,500,2240.47254
-397.431889,373,2308.312622
-298.45791,500,2335.028928
-52.787217,500,2356.167674
-364.892514,500,2393.392873
-1232.191504,411,2533.268866
-809.237354,500,2554.196399
-993.950582,486,2574.653323
-261.538738,61,3284.957178
-486.089755,88,3321.865765
58.320283,168,3365.929272
-509.49443,126,3388.767325
-345.723565,198,3467.057897
-562.64967,161,3562.840511
-1767.449437,438,3762.175221
-521.707069,500,3987.031327
-482.37977,149,4078.167431
-314.642695,188,4197.548482
-255.162718,62,4234.802996
-281.673837,128,4312.264623
-871.038547,447,4581.825503
61.03942,38,4605.297843
-425.09944,269,4727.204024
-1429.685016,258,4864.611224
-330.560644,87,4916.466478
-318.262135,82,4964.405513
-300.645956,193,5075.602688
-354.108973,73,5117.997123
-295.68801,74,5161.993216
-488.645114,72,5205.933756
-276.382004,51,5236.502305
-240.33085,51,5266.896783
-706.730067,500,5517.435277
11.901584,430,5543.658007
81.780319,99,5551.751087
